"English","Wolaytta"
"beauty contest","lovely she is! Everybody admires her beauty.%● puulaa annaaciya"
"A seedling is a young plant raised from a seed.","biittaappe mokkidaagaa."
"Use the broom to clean the room, please.","go'etta."
"Do you have a broom? I would like to sweep the room.","pittana koyaas."
"He had breakfast before","oosuwawu baanaappe kasetidi qan''iya qan''iichchiis."
"I had a loaf of","leaving for his job.%● Taani shayiya daabbuwara qan''aas."
"There is a small cut in your trousers; why","qanxxoy dees; ayssi sikkikkii?"
"Because the man spoke","haasayiiddi qapphalattin, nuuni I giyogaa eribookko."
"There is no","qashuwa%1. noun%► conclusion%● Ne hasayawu qashoy baawa."
"The fickle girl first loves one man, then changes her","laammada haraa dosawusu."
"Bring the","qerettaa%1. noun%► split wood%● Qerettaa tamaa eettanawu ekkada ya."
"Eettiyo mittaa qeradii? Have you","qeriis%1. transitive verb%► split (fire wood)"
"The man split","split the firewood?%● Bitanee laaxaa kattanaayyoo mittaa qeriis."
"If you put this ointment on your rash, it","tiyidaakko, qaachchaa teqqana shin."
"The boy applied ointment to his wound after he had washed it.","tiyyiis."
"I have almost finished the ironing.","tokkosada wurssanaayyoo qiibay attiis."
"I have not quite finished my homework.","Ta so oosuwa wurssanawu qiibay attiis."
"My son is being bullied at school.","dees."
"In his youth, he used to bully children.","baynna naata qimiixees."
"The housekeeper cleaned","Kariya naagiyagee keettaa qociridi pittiis."
"My","demerit; maltreatment%● Ta morkketi ta bolli qohoy gakkanaadan koyoosona."
"Smoking is a","enemies want me hurt.%● Sigaaraa sarbboy nu payyatettaassi qoho."
"Clean the fireplace.%(syn) [kushiinaa.]","pitta."
"a perfunctory salutation","strained%● qooreppe qommo sarotaa"
"lukewarm friendship","laggetaa"
"A week","saaminttaa%1. noun%► week%● Saaminttaa giddon laappun gallassay dees."
"He hobbled the legs of the heifer to stop","phixxillennaadan tohuwa sakaaliis."
"Hobble the mule's feet.","it from cantering.%● Baqulee tohuwa sakaala."
"If you touch food frequently, it becomes truth.","samees."
"The food was spoilt because it had","gam""idoogaappe denddidaagan qumay samiis."
"heat of the","seelaa%1. noun%► burning-pain; torment%► heat%● bambbariya seelaa"
"The cat is chasing the","seriya%1. noun%► mouse%● Garawiya seriyo gooddawusu."
"Clouds bring rains.","shaaraa%1. noun%► cloud%● Shaaray iraa ehees."
"There are clouds in the sky.","shaaray de'ees. Iray bukkees gaada taani qoppays."
"Don't disturb me! I am reading.%(syn)","shabbiroppa! Taani nabbabaydda days."
"The hail","shachchaa%1. noun%► ice; hail%● Ha laytti shachchay kattaa mooriis."
"puddles","ruined our crops this year.%● iraa haattay shachchawu laamettidaagaa"
"The candle has a","cotton, or synthetic fibers%● Shaamaayyoo shaloy de'ees."
"Yarn is used to weave white shawls.","wick.%● Shaloy naxalaa daddanawu maaddees."
"The man sold sheep and bought clothes to his children.","maayuwa shammiis."
"She left her case at the airport last Wednesday.","uttiyosan aggada yaasu."
"What are you stuffing into the case?","shanxxan gurdday?"
"All the","timirttiya doommanaappe kasetidi so oosuwa sheedhdhanawu bessees."
"Submit your CV before the end of the month.","aginappe kasetada sheedhdha."
"I entered my submission into the scholarship","timirttiya annaaciyaw gelissaas."
"The army is on maneuvers in the desert.%(syn) [sher""iis.]","doosona."
"He","allowance%● I ishatamu bira aballiya ekkidi inddawunne qumaassi qanxxiis."
"Feces stink.%(syn) [katta","shiyaa%1. noun%► feces; stool%● Shiyay xinqqees."
"Brass doesn't rust.","uttiis.]%► rust%● Xarqqimaallay shiyenna."
"A frog croaks.","shodhdhiya%1. noun%► frog%● Shodhdhee waassees."
"Frogs hop.","guppees."
"overflowing water","shohiina%1. adjective%► overflowing%● shohiina haattaa"
"The man wore a pair of trousers.%(syn) [gixxiis.]","suriya shookkiis."
"I am afraid of","shooshshaa%1. noun%► snake; serpent%● Ta shooshshaa yayyays."
"My cow was bitten by a","snakes.%● Ta miizziya marzze shooshshan dukettaasu."
"Don't throw","shuchchaa%1. noun%► stone; nugget%● Kafotu bolli shuchchaa oloppa."
"The boy is carving the stone.","stone on the birds. %● Na'ay shuchchaa massees."
"The moth made","shuraabiya%1. noun%► sweater; T-shirt%● Shuraabiya bil""ay miis."
"The new T-shirt was a","holes in sweater.%● Ooratta shuraabee lo''o giigees."
"Put the stew on the injera.%(syn) [dookkiya, woxiya.]","shuruwa tigga."
"Bring me a","siiniya%1. noun%► cup%● Hayyanaa, tawu issi siine tukkiya eharkkii."
"Would you like a cup of","cup of tea, please.%● Siine tukkiya uyanawu koyay?"
"The boy's broken leg became lame.","Na'aassi me''ida kushee siliis."
"He tucked the thatch of the house.","siqimmiis."
"The","suqettiis%1. intransitive verb%► be spin, be whirled%● Puuttoy suqettiis."
"The boiling water on the stove is getting very hot.","haattay mishuwa suulliis."
"He is a handsome, intelligent, and well-","puulanchcha, eranchchanne suure asa."
"Blood","suuttaa%1. noun%► blood%● Awu qesee keehi qanxxettin suuttay xoohiis."
"The","suyqiya (suuqiya)%1. noun%► shop; kiosk%● Suyqee maallado dooyettiis."
"I have","kiosk opened in the morning.%● Taani suyqiya baada darobaa shammaas."
"Bring a stone to act as a brace for the broken car.%(syn) [tuuqiya,","ya."
"Dried tree branches are used as fuel.","mittaa tashee eettanawu maaddees."
"The wind shakes the branches of trees.","Zaafiya tashiya carkkoy qaattees."
"a ripe yellow lemon","loomiya"
"He","tilla%1. adjective%► pure; absolute%● I tilla Wolayttattuwa haasayees."
"The chest is the upper part of the body below the","de'iya asa bollaa qommo."
"I pressed my hands on the baby's chest when he was vomiting.","oyqqaas."
"He has never ridden a","toggiis%1. transitive verb%► ride%● I para toggi erenna."
"My horse is","horse.%● Ta paray miiqiyo gishshawu togganawu injjettenna."
"The dry bread is brittle. It is","oyttay toofiina; bochchennan me'i aggees."
"Put down on the ground your heavy load.%(syn)","%● Ne deexo toohuwa sa'an wotta."
"This cart is too small to carry all the weight.%(syn) [hashekkiis.]","guutta."
"Babies normally","babies)%● Qeeri naati laytta wode gakkiyode tuchchoosona."
"My daughter","tukkiya%1. noun%► coffee%● Ta na'iya tukkiya essanawu danddayawsu."
"Our mother does not drink","can make coffee.%● Nu so aayyiya tukkiya uyukku."
"He was sick after he was bumped by an ox.","harggiis."
"The","tuuqiya%1. noun%► buttress; beam; support; post%● Tuuqee keettaa tookkees."
"Our cultural house cannot be built without a pillar.","baynnan keexetenna."
"A lot of people are dragging the heavy","Daro asay deexo tuussaa goochchees."
"All the slow learners failed the exam this year.%(syn) [tuutte.]","kunddidosona."
"He is","ulottiis%1. intransitive verb%► be secretive%● I taayyoo ulottiya lagge."
"We are secretive friends.","my secretive.%● Nu ulottiya lagge."
"The classroom is too narrow for 60 students. We","harasaa shiranawu koshshees."
"clay prepared for making","urqqaa%1. noun%► mud; clay%● otuwa medhdhiyo urqqaa"
"He made a ball of mud.","pottery%● I urqqaa laalukkiis."
"He hoed the maize.%(syn) [harummiis, bul""iis.]","ushshiis."
"He is a stingy man who refuses to share his wealth.","immanawu ixxiya uuze asa."
"Most of the time rich people are selfish.","%● Daro baggi dure asi keehi uuze."
"The","warqqallattiis%1. intransitive verb%► wiggle%● Guxunee warqqallattiis."
"The earthworm wiggles.","worm wiggled.%● Laalagunxxee warqqallattees."
"The","wobbiya%1. noun%► cripple; limping%● Wòbbee eessuwan woxxana danddayenna."
"A woman who is on the way to","Wodee wurido macaasiya ooso oottanawu bessenna."
"We want to learn and prosper.%(syn) [duretiis,","tamaaridi wogetanawu koyoos."
"Saturday and Sunday are","Woggaa%1. noun%► Sunday Woggaynne%● Qeeray Sambbata."
"Many people prefer","Sabbath days.%● Daro asay Woggaa galla oottanawu koyenna."
"He","wogi baynna%1. adjective%► illegal%● I kaamiya wogi baynna ogiyan laaggiis."
"The girl pushed the door open with all her strength.%","wolqqan sugada dooyaasu."
"The","force; compel; coercion%● Ta bayra ishaa wolqqanttoy tanaa yashshiis."
"The manager dominated all","hold power%● Gadaaway oosanchchatu bolla wolqqatiis."
"Why are you dominating me?","the subordinates.%● Ne ta bolla ay wolqqatay?"
"Daybreak is the time of day when light first appears.","wodiya."
"They start work at sunrise.","matishin eti oosuwa doommoosona."
"I have an","Wontto taassi asaara keeroy de'ees. Nenaara wonttifen gayttana."
"I am going to school the","tamaaresoo baana,"" A na'ay yaagidi zaaruwa immiis."
"See you tomorrow.","wontto%1. adverb%►tomorrow%● Ta neenaara wontto gayttanna."
"My examination may be today or tomorrow.","Ta paacee wontto woykko hachcha."
"We go to church every Sunday.","keettaa beettees."
"golden ring","worqqa%1. adjective%► golden%● worqqa migiduwa"
"They climbed to the peak of the mountain for","deriya kiikiya kiyidosona."
"moves as slow as a","xaadhdhiya%1. noun%► snail%● xaadhdhiyatto goshoshattees"
"A snail moves slowly.","snail%● Xaadhdhee goshoshattees."
"skein of a","xaattaa%1. noun%► scroll; package%► reflex%► skein%● kiriya xaattaa"
"The ox became exhausted because","kumettaa goyiiddi pee'ido gishshawu xalaliis."
"The dog chased the duiker","genessiyo yedettidi yuushshidi guye xambbarssiis."
"The baby suckles its mother's breast.","xammees."
"The newborn lamb suckled.","xammiis."
"The roots of some trees spread far and wide.","yaanne haanne daayees."
"He","xawulaa%1. noun%► plank; lumber%● I ba ooratta keettaassi xawulaa shammiis."
"Piles of","bought planks for his new house.%● Xawulaa wuygiya kummi uttiis."
"He won't join us for lunch unless he is invited.","nunaara gayttenna."
"My father will till the land if it","bukkana xayikko, ta aaway gadiya goyyees."
"The women's belt is worn around the waist.","danccettees."
"The illness left him paralyzed from the waist","xeessappe xadiya gunddissiis."
"He incised the abscess on the ox with a blade.","kixxidaagaa milaacan xihiis."
"removed by clipping","xihidi diggiis"
"The injury bled heavily.","bleed%● Masunxxida sohoy suuttaa ximaaziis."
"Snakes writhe when they are dying.","xirixirees."
"She is a frequent visitor to Wolaita.","ubbatoo Wolaytta xomoosiyaro."
"The hunter threw a spear to pierce the","genessaa caddanawu tooraa xonggiis."
"He threw a spear and killed a","duiker.%● I tooraa xonggidi genessaa woriis."
"Because it poured yesterday, the mud does not allow","torqqoy nuna hemetissenna."
"lofty mountains","xoqqa%1. adjective%► high; lofty%● xoqqa dereta"
"The old house has lofty ceilings.","keettan xoqqa koriniisee de'ees."
"Mother pinched the naughty boy.","xundduqqaasu."
"The teacher pinched the naughty student's","tamaariyassi hayttaa xundduqiis."
"Local beer is drunk from a small clay jar.%(syn)","xuu'an parssoy uyettees."
"The","xuuggiis%1. transitive verb%► burn%● Bombbee xuuqqidi keettaa xuuggiis."
"The explosion terrified everyone in the village.","daganttiis."
"the bursting open of cotton","xuussaa"
"A wanderer passes the day","Yuushshanchchay yaanne haanne yuuyiidde pe'ees."
"A simple","traveling here and there.%● Laafa asi yaanne haanne yuuyiiddi pe'ees."
"The boy threw a stone with a sling in","woranawu shuchchaa yambbarshshan oliis."
"Men use slings to keep birds away from the","kafuwa yambbarshshan gooddees."
"The ostrich is the largest living bird that has a","qii huuphee diyo wogga kafo."
"They sacrificed to their gods.","eeqatussi yarshshidosona."
"She devoted her whole life to her goal.","ba de'uwa ubbaa yarshshaasu."
"The shortage of rain is an appalling event to mankind.","yashshiya hano."
"scary movie","yashshiya sinimaa"
"Although Wolaita was my birthplace, I was","gidikkonne, ta Addisaaban diccaas."
"Gasuba is my","brought up in Addis Ababa.%● Gasuubi taayyoo yeleta biitta."
"If the","Iray essana xayikko nu kaassaa hara gallassawu yereriyogaa shin attiis."
"They postponed the wedding ceremony for two","hachchi heezzanttawu yereridosona."
"I wouldn't have come here unless you had asked me.","yiike shin yaas."
"If you don't come soon, I","eessuwan yaana xayikko, taani nena naaganawu diikke."
"My grandfather is around","Ta aawa aawassi layttay usppun tamma. Yonccu giis."
"There was a","de'iyo gishshawu nuuni kaamiya laaggidi giddo gelana danddayokko."
"The mason split the large stone.","massiyagee wogga zaallaa phalqqiis."
"The merchant made everything available in his shop.","suyqiyan mulebaa kunttiis."
"An active businessman often becomes","%● Mino zal""anchchi darotoo durettees."
"The foolish","reckless%● Zamuqa na'ay ba miishshaa muliyan ceeriya kaa''iis."
"The school is far way from my home.%(syn) [haakkiis.]","zardda'ees."
"Floods swept","zarphphiya%1. noun%► bridge%● Mitta zarphphiya di'oy efiichchiis."
"Two countries are separated from each other by the border.%","shaahettoosona."
"Bring a low table for the small","qumaa maanawu ziqqa xarapheezaa ekka ya."
"These are low quality clothes. Nobody wants to buy them.","shammanawu koyyenna."
"She bowed forward from her waist.","oottaasu."
"It is good for a person to humble himself.","oottiyakko lo''o."
"Lower the","ziqqissiis%1. transitive verb%► lower%● Misiliya ziqqissada kaqqa."
"He","picture when you hang it.%● I hingettan loomiya duuttanawu ziqqissiis."
"A handful means an amount of grain that","kushiyan kophphettiyo kattaa giyogaa."
"a handful of barley","can be held in the single hand.%● zolle banggaa"
"A triangle","zooziya%1. noun%► angle%● Heezzu miyyiyawu heezzu zoozee de'ees."
"When I was in","tamaariyo wode nu so asay loytta xana'anaadan tana zoridosona."
"Her mother was away and couldn't counsel her.","O zorana danddayabeykku."
"Take the suggestion from adviser for what you have","zoriyagaappe hayyuwa ekka."
"a pregnant cow","animals)%● Kunttiya miizziyo"
"The jennet could not carry water because she","haattaa caanettana danddayukku."
"A sponge holds","ispponjjiya%1. noun%►sponge%● Ispponjjee haattaa oyqqees."
"She used a","water.%● A maattay gukkidaagaa quccanaassi ispponjjiya go''ettaasu."
"Mow","aacaa%1. noun%► grass; sprout; slip; shoot.%● Aaca maataa miizzawu buucca"
"If rain falls,","the fresh grass for the cattle%● Iray bukkikko, aacay kiyees"
"These pants are so wide that they do not","aakkido gishshawu nenaara giigenna."
"The road became wide.%(syn) [yawdaawatiis]","fit you.%● Ogee aakkiis."
"Though my","tammaa keettaa wurssettan diikkonne ha''ikka yelaga malatees."
"My grandfather is 100 years old.%(syn) [wogga aawaa, aayee","layttay xeeta."
"Children","aawaa%1. noun%► father%● Naati bantta aawaa bonchchanawu bessees."
"I learned a","should respect their fathers.%● Taani taawaappe darobaa tamaaraas."
"Unity is strength","Issippetettay abbe"
"Because Solomon's cows","gisttiya miido gishshawu, I taassi afilaama qanxxiis."
"You should pay a restitution for your wrong doings.%(syn)","qanxxanaw bessaasa."
"Tears were","afuttaa%1. noun%► tear%● Afuttay buuchchaara duge simmidi goggiis."
"She couldn't stop the tears streaming down her face after she","danddayabeykku."
"The moon shines at night.","aginaa%1. noun%► moon%● Aginay qammi poo'ees."
"A month has thirty days.","month%● Aginan hasttamu gallassay de'ees."
"A","ajaajjiya%1. noun%► tuberculosis%● Ajaajjee oyqqido asi ha""i ha""i qufees."
"Without an understanding of the","baynnan oottikko, balaa oottanawu danddayees."
"I unwittingly stepped on your feet.","tohuwa yedhdha eqqaas."
"The car unexpectedly overturned.%(syn)[qoppennan,","akeekennan aadhdhiwodhdhiis."
"He remembered that he forgot the ax in the forest.","akeekiis."
"After the teacher repeatedly talked about the lesson, the student","akeekiis."
"The cost of an ox is expensive.","al''iis."
"Nowadays the price of benzine is costly.%(syn) [saluwa sa''iis tamaa","al''iis."
"I have done what you have ordered.","%● Taani ne kiittidobaa allaallas."
"He snuck someone else's food.","%● Na'ay hara asassi wottido qumaa allaalliis."
"He is an unrelated person.","I allaga asa."
"He is good to other people, but he","shin taayyoo gidikko iita allaga gidennee."
"He wanted to alienate himself from me after our fight.","koyiis."
"The man's rudeness alienated him","boozatettay A laggetu garssan allagissiis."
"After grazing, the cows returned to their","simmidi mehee allattaakko simmiis."
"The grass through which the cows","yedhdhidi hemettido maatay allatta kiyees."
"After grazing, until they were","Miizzay dembban maataa mi kallidi, allaxxees."
"The singer entertained us for hours with his music.","allaxissiis."
"When they heard the shouts coming","Keettaa tamaa toyssanawu waassin allidosona."
"Where I was hit on the hand, I bruised.","deshettosan suuttay alliis."
"Satisfaction is the fulfillment of","satisfaction Aloy koshshiyabay kummiyogaa."
"The job has not been done to","one's need.%● Oosoy oosettoy ne aluwassa gidenna."
"The dishonest maid was caught stealing money. She","hanotan maarotaa oychchaasu."
"He","amottiis%1. transitive verb%► wish; desire%● I daro duretettaa amottiis."
"We wish for peace.%(syn)","desired great wealth.%● Nuuni sarotettaa amottoos."
"She wanted rain, but her wish did not come true. %(syn)","tumattibeenna."
"Wash","an%1. postposition%► with, by means of%● Ta suriya saamunan meeccarkkii."
"Don't talk","situated somewhere%● Wocamoppa, qeeri na'ay hiittan xiskkiis."
"The people's rebellion scared the government.","annay kawotettaa yashissiis."
"One prison guard was","Qasho keettan denddida anni annan zabe issoy hayqqiis."
"If you count the","qoodikko, A layttay woysakko shaakkada eranawu danddayaasa."
"The plants' stem appears above the ground.%(syn)","biittaappe bollaara dees."
"He started","aquwa%1. noun%► passing night, overnight%● I karen aquwa doommiis."
"At night, the farmer brings the cattle","sa'ay qammiyode, mehiya soo gelissees."
"Friday is","Arbba%1. noun%► Friday%● Arbbi ooso gallassatun wurssetta gallassa."
"Orthodox Christians often fast on Wednesdays and","Oruwanne Arbba xoomoosona."
"The disciplined children were kind to their friends.","laggetussi keha."
"He is a polite man whom everybody likes.%(syn)","deree dosiyo ashilaalo asa."
"A","awa genttuwa%1. noun%► solar eclipse%● Awa genttoy gallassa wodiyan hanees."
"A solar eclipse occurs","biitteeppenne awa ayfiyappe gidduwan gidiyo wodiyana."
"The sun rises in the","awaa%1. noun%► sun; sunshine %● Away Arshshoora mokkees."
"Plants obtain energy from the sun.","east. %● Dozati awaappe wolqqaa demmoosona."
"The elders mediated when the husband and","ooyettin heeraa cimati awaasidosona."
"He pleaded with me to borrow","taappe guutta miishsha tal''anaw tana awddashiis."
"They coaxed him to go back to help the vulnerable children.%","awddashidosona."
"When did he promise to bring back the money he borrowed from","qaalaa gelidee?"
"When did your brother graduate with","you?%● Ne ishay digriyan awde anjjettidee?"
"He revenged the man who murdered his","worida bitaniya awutiya achchiis."
"She swore to","brother.%● A ba aawaa hayqquwassi awutiya achchanaassi caaqqaasu."
"My sister is a beginner. She knows nothing about university","aybakka erukku."
"In that hotel, you","life.%► anything%● He uteeliyan, neeni aybakka demmaasa."
"The theme of the speech was not clear to us.","nuussi gelibeenna."
"the title of the story","haysiyassi ayfe yohuwa"
"He sat idle the whole day doing nothing.","pee'iis."
"The spirit-filled congregation praised and","galatidosonanne goynnidosona."
"A keettaayiya ayyaanaara diya maccaasa. Onne","worshiped together.%► goodnatured"
"A","baabire keettaa%1. noun%► mill%● Baabire keettay kattay gaaccettiyo sohuwa."
"The man took his crops to the mill to","gaaccissanaw baabire keettaa efiis."
"She","baagaa%1. pronoun%► hers%● Maxaafatu giddoppe baagaa koyada xayaasu."
"He went wearing someone else's","xumaara baagaa balidi asa caamma wottidi biis."
"When the foundation deteriorates, the building","wode, gimbbee za''anaw de'ees."
"a country's struggle for independence","biitteessi diya baaxiya"
"In my life, I have encountered many","de'uwan daro baaxiya giddo gelaas."
"3 is a odd number because it","barissinne 1 quxuriyassi shaahettiyo gishshaassi."
"An antisocial hyena hunts and walks","barkka shankkateesinne barkka yuuyees."
"She had so many wrong answers on her exam,","tammantta kifiliya aadhdhabeykku."
"a","mischievous; cheating; tricky; devious; immoral%► corrupt%● balibakkiya asa"
"a corrupt officer","corrupt person%● balibakkiya beero gadaawaa"
"He","bana barkka%1. pronoun%► himself%● I bana barkka yeellayiya ooso oottiis."
"Being","did that shamed himself.%► herself%● A eesotada bana barkka qohaasu."
"He clung to the tree when climbing it.%(syn) [mirggaaciis,","oyqqiis."
"After people left the place, the place became forested.","biittay bazzottiis."
"If you have finished seeing the photos, come here.","gidissikko, haa yiite."
"People learn a lot from","life experience%● Asay be'uwappe darobaa tamaarees."
"The HIV/AIDS lessons increase people's awareness of the","beegotaa gujjees."
"Alert people notice their surroundings.","Beegottida asay ba heeraa akeekees."
"I was curious to find","haasayiiddi diyobay aybakko eranawu taani beerottaas."
"Since he lost his","ogiyan mehee xayido gishshaw, bitanee koshshan beerottiis."
"Sometimes children play with invisible, imaginary friends.","qofan kaa'oosona."
"A","Ayfiyan beettennabaa maykiroskkooppee darissidi bessanawu maaddees."
"If you burn","bidinttaa%1. noun%► ash%● Ne mittaa eettikko, bidintta kiyees."
"The fire was out, but the ashes were still hot.%(syn) [xuraa.]","michchees."
"Most hardworking students study until midnight.","xanna'oosona."
"The enemy set fire to his house at midnight.%(syn)","keettan tamaa oyttiis."
"My aunt sold her house","ba keettaa ba shooro asawu 100,000.00 biran bayzzaasu."
"Judas betrayed Jesus for 30 pieces of silver.","aattidi immiis."
"He cut his fingers when he was sharpening the pencil.","qanxxiis."
"A man has","Asayyoo tammu kushe biradhdheenne tammu toho biradhdheenne de'ees."
"A","birddibillisiya%1. noun%► blanket%● Birddibillisee ordde hiitta maayo."
"Sheets are worn under the blanket on the bed.%(syn)","maayettees."
"The neighbor summoned the evil spirit in order to murder his","woranaw bitiis."
"A man with a little hair or having no hair","woykko huuphee mokkenna asi bo''a."
"He was banished for","zaaretti zaaretti danuwa oottido gishshaw bohettiis."
"a beautiful","The girl picked the ripened yellow lemons.%► red%● boljjojja arssa"
"Glory be to God!","bonchchoy gido!"
"We must show respect for our elders.%(syn) [saaphuwa, boossuwa,","bessoos."
"Her pregnancy aborted.","ixetay boshettiis."
"If butter is not applied to your face,","tisttana xayikko, ne som""oy bullaalees."
"His face was","it will get dry.%● Harggi denddidaagaw som""oy bullaali uttiis."
"The water which cows enter gets muddy.","bulqqotiis."
"The soil made the water muddy.%(syn) [sharishariis, orccotiis,","bulqqoyiis."
"A good for nothing boy does","keepsake%● Laafa na'i bari aawaa buquraa naagenna."
"Heritage is a thing or things","darobaa woykko mayzzaappe laattidi ekkidobaa."
"The","buuchchaa%1. noun%► goatee%● Adussa buuchchay diyo cima bitanee I aawaa."
"The chin is the part of","garssaninne qooriyappe bollaara de'iya bolla kifile."
"A donkey brays.","caaggiis%1. intransitive verb%► bray%● Haree caaggees."
"When we reached home, the driver was putting on his shoes.","dees."
"The man","caammaa quccidi, kalssiya meeccidi, kootiya buruushiyan pitterettiis."
"She swore not to marry him.","caaqqaasu."
"He swore to revenge the man who killed his brother.","haluwa kiyanawu caaqqiis."
"There was a riot","trouble %● Hegan cabboy diyo gishshawu, daro asay qohettiis."
"A riot is a","and many people were hurt. %● Cabboy kaysuwassi wuuqqanaw hira."
"He wore","caccara%1. adjective%► speckled; spotted %● I caccara qoliya maayiis."
"Cheetahs have speckled","a spotted long local shirt. %● Maahiya meray caccara."
"He","mouth, using the teeth and jaws often rudely %● I oyttaa cadakkiis."
"He detached the rope when it was too difficult to","ixxidaagaa cadakki yeggiis."
"Bitter coffee tastes better with a little sugar.","sukkaariya yeggin mal''ees."
"a bitter dispute","%● camo palamaa"
"children's untidy","carqqa%1. adjective%► untidy; messy %● naatu carqqa oosuwa"
"She looks pale. Is she OK?","gidekkeeyye?"
"Hearing a sudden noise, I","cenggurssaa siyada, masttootiyara kare xeellaas."
"Please don't make so much noise. I am reading. %(syn)","nabbabaydda days."
"He deceived the young girl by his sweet talk.","shongga haasayan cimmiis."
"He coaxed the mule into coming","baquliya baakko guuttaa shiiqana mala cimmiis."
"A wise leader gives fair judgment among the people.","suure pirddees."
"Don't try to cheat me; we are wise people.%","cimmana maloppa; nuuni cincca asa."
"The new cloth's color bled.","carqqee cooyiis."
"To avoid passing on that side,","baggaara aadhdhenna mala coppiya essidosona."
"He tied a signal on","they put up a sign as an indication. %● Coppiya qachchiis."
"double letter","pitaliya"
"In Wolaita we show gemination by using double letters.","qonccisseettees."
"Stitch the rip on your trousers.","sikkaychcha."
"There is a hole in her toga; I think it is old. %","gal''a gidennan aggenna."
"A crime is","dabaa%1. noun%► crime; fraud %● Daba giyogee higgiya kanttiyogaa."
"The police arrested him although a crime was not committed. %(syn)","qachchiis."
"Today's food is not delicious.","dachchees."
"Her hair was braided.","huuphee dadettiis."
"The weaver wove the cotton blanket.","daddiis."
"We have to yank the rope from the well in","nuuni wodoruwa dafanawu koshshees."
"They abducted the girl while she was","haattaa ehaydde diishin dafidosona."
"He collected coffee and filled the","Tukkiya dagayidi konttaaliya kunttiis."
"She gathered coffee from many","quintal. %● A tukkiya darosaappe shiishshaasu."
"The","dalaa%1. noun%► straw; hay; chaff %● Maccaasiya dalaa wuygiyappe pittaasu."
"corn stalk, millet stalk, wheat or barley stem, etc. %","gisttiya dalaa h.h.m."
"Patience is advisable during time of misery. %(syn) [genccaa]","koshshees."
"All the criminals are going to be arrested by","polisiyan ohettana hanoosona."
"Those who committed this crime are to be seriously","seerettanawu doosona."
"She was caught red-handed","punished. %● A danuwa oottaydda ciraara oyqettaasu."
"The number of people increases yearly in","asaa qooday layttan layttan darees."
"The people became greater in number. %(syn)","our country.%● Asay qoodan dariis."
"A busy person gets rich soon.","duretees."
"He is a versatile actor","baggaa kaa'anaw danddayiya darobaa oottiya akttere."
"The students should reach school before the bell","keettaa gakkanaw bessees."
"The bell hasn't rung yet; we shouldn't leave the classroom. %(syn)","koshshenna."
"The money was","or earmark something %● Nu beeruwassi baajeetee dayettiis."
"The government allotted a larger amount of money","goshshaa moconaassi dayiis."
"life","de'uwa (deettaa; duussaa) %1. noun%► life; existence %● hayquwanne de'uwa"
"My father died last year; I wish I could bring him back to life.","dosaysi shin."
"50 kilograms of coffee is too heavy for me to","tookkanaassi keehi deexxees."
"This examination","carry. %► be difficult %● Ha paacee zilayttaagaappe deexxo."
"A","dema%1. adjective%► a found thing %● Dema mehiya A godawu zaariyogee lo''o."
"a cheap","found cow should be given back to its owner. %► cheap %● dema waagaa"
"Healthy children grow quickly.","Payya naati sohuwara diccees."
"He economically grew fast after became merchant.%(syn)","sohuwara dicciis."
"A mother raises her children.","dichchawusu."
"He returned the money he borrowed from me","tal""ido miishshaa dichchidi zaariis."
"We live on food.","miidi doos."
"He hurried to catch up with","tamaare keettaa otobisiya gakkanaayyoo dirbbiis."
"Being hasty, the boy made","the school bus.%● Na'ay dirbbidi balan geliis."
"She is messing up her hair.","dirqqallaasu."
"He manipulated the facts so that he would not look guilty.%","tumaa dirqqalliis."
"The","dirssaa%1. noun%► fence%● Kaysoy dirssaa huuphiyara piriiddi hayqqiis."
"He","thief died when jumping over the fence.%● I dirssaappe hokkidi aadhdhiis."
"The car collided into the barrier and knocked down a woman.","dirxxiis."
"The car crushed the snake.%(syn) [daraxiis, narphphiis.]","shooshshaa dirxxiis."
"The maize plants sprout quickly if rain falls a lot.","dolees."
"Wake up when the sun rises.","Away doliyode xiskkuwappe denddaychcha."
"Have you","donddiya%1. noun%► umbrella%● Donddiya oykkadii? Iray bukkana hanees."
"Would you mind lending me","garxxanaw ixxis guuteeshsha? Iray bukkana hanees."
"The crops were decimated by the insects.%(syn) [godoliis.]","medoosatun doomiis."
"a crooked person","doossa%1. adjective%► twisted; crooked%● doossa asa"
"He cooled down the soup.","doshissiis."
"My father advised me to cool my anger.","dochchanaadan zoriis."
"To some extent, the","dubba%1. adjective%► plump; fat%● Biittay guuttaara dubba."
"He is plump;","soil is wet.%► plump; fat%● I guutta dubba; hegaa keena ordde."
"He","dukkiis%1. transitive verb%► sting%● I eessaa eessiiddi mattan dukettiis."
"A snake bit her.","shooshshay saxxiis."
"It is not good to discriminate between the rich and the poor.","lo''enna."
"I separated the good potatoes from the ones.%","lo''o donuwa iitaappe dummayaas."
"My","unobtrusive; coy%● Ta dungguuxa michchiya kifiliyan haasayanawu dosukku."
"The shy girl found it difficult to make friends.%(syn)","demmanaw iyyoo deexiis."
"Because he worked hard, he accumulated","gishshawu, gita duretaa shiishshiis."
"An estate is the whole of somebody's property, possessions, and","geettees."
"Have","duuqqiis%1. transitive verb%► draw, haul up (water)%● Haattaa duuqqadii?"
"Copy the song","you drawn the water?%► copy%● Yettaa kaassetiyan duuqqa."
"Hasten the work. It is getting dark.","lem""ees."
